00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\advert.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\Autolink.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\browser.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\Embedly.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\Extractor.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\HitHighlighter.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\lists.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\menu.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\OAuth.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\Regex.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\settings.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\theme.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\twitter.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\common\user.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\config.sample.php
00:55:58 [DBG] (CopyFileVisitor.preVisitDirectory:49) Incoming dir: dabr\images
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\dabr.png
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\dm.png
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\dmL.png
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\map.png
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\mapL.png
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\q.png
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\qL.png
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\images\reply.png
